permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"","30 Alba Rd 4 4","","","72652612","30 Alba Rd 4 4","2020-05-05","2020-07-23","","exact","1","","",""
"","21 Old Colony Rd 5 3","","","72609689","21 Old Colony Rd 5 3","2020-01-19","2020-03-03","","exact","1","","",""
"","2 Wildon Road 4 2","","","73238938","2 Wildon Road 4 2","2024-05-15","2024-08-15","","exact","1","","",""
"","11 Sawyer Rd 5 3","","","72620972","11 Sawyer Rd 5 3","2020-02-17","2020-04-22","","exact","1","","",""
"","10 Meadowbrook Road 4 2","","","72959868","10 Meadowbrook Road 4 2","2022-03-29","2022-06-26","","exact","1","","",""
"","35 Halsey Ave 4 4","","","73296981","35 Halsey Ave 4 4","2024-09-30","2024-12-01","","exact","1","","",""
"","68 Lowell Road 4 4","","","72584898","68 Lowell Road 4 4","2019-10-24","2020-02-06","","exact","1","","",""
"","155 Forest Street 6 4","","","72666896","155 Forest Street 6 4","2020-06-02","2020-07-19","","exact","1","","",""
"","11 Bobolink Road 5 4","","","72905162","11 Bobolink Road 5 4","2021-10-05","2021-11-15","","exact","1","","",""
"","33 Hickory Road 5 4","","","72578873","33 Hickory Road 5 4","2019-10-10","2020-08-17","","exact","1","","",""
"","77 Forest St 4 3","","","72990600","77 Forest St 4 3","2022-05-31","2022-07-24","","exact","1","","",""
"","141 Hampshire Rd 5 5","","","72935011","141 Hampshire Rd 5 5","2022-01-18","2022-03-17","","exact","1","","",""
"","8 Hodges 5 3","","","72910901","8 Hodges 5 3","2021-10-19","2021-12-02","","exact","1","","",""
"","39 Crown Ridge Road 4 3","","","72810843","39 Crown Ridge Road 4 3","2021-04-06","2021-05-11","","exact","1","","",""
"","28 Sturbridge Rd 4 2","","","72803748","28 Sturbridge Rd 4 2","2021-03-24","2021-07-14","","exact","1","","",""
"","22 Northgate Rd. 5 4","","","73007723","22 Northgate Rd 5 4","2022-07-05","2022-08-28","","exact","1","","",""
"","11 Appian Dr 5 4","","","72664151","11 Appian Dr 5 4","2020-05-28","2020-10-27","","exact","1","","",""
"","18 Maugus Ave 15 8","","","72893049","18 Maugus Ave 15 8","2021-09-08","2022-01-02","","exact","1","","",""
"","7 Fuller Road 4 2","","","73056963","7 Fuller Road 4 2","2022-11-08","2022-12-29","","exact","1","","",""
"","67 Smith Street 5 3","","","73043031","67 Smith Street 5 3","2022-09-29","2022-11-17","","exact","1","","",""
"","170 Grove Street 4 2","","","72995557","170 Grove Street 4 2","2022-06-08","2022-07-26","","exact","1","","",""
"","283 Walnut St 4 3","","","72970388","283 Walnut St 4 3","2022-04-21","2022-06-14","","exact","1","","",""
"","41 Bradford Rd 4 3","","","72909828","41 Bradford Rd 4 3","2021-10-17","2022-02-15","","exact","1","","",""
"","22 Dunedin Rd 5 4","","","72898951","22 Dunedin Rd 5 4","2021-09-21","2021-12-13","","exact","1","","",""
"","39 Radcliffe Rd 4 3","","","72853689","39 Radcliffe Rd 4 3","2021-06-20","2021-07-27","","exact","1","","",""
"","30 Falmouth Rd 5 3","","","72838292","30 Falmouth Rd 5 3","2021-05-25","2021-08-03","","exact","1","","",""
"","9 Argyle Ave 4 4","","","72822068","9 Argyle Ave 4 4","2021-04-27","2021-07-29","","exact","1","","",""
"","20 Sturbridge Road 4 3","","","72804735","20 Sturbridge Road 4 3","2021-03-25","2021-06-24","","exact","1","","",""
