record_id,address_raw,address_norm,date_submitted,est_cost,demo_cost,record_status,type_of_work
"RES-25-779","28 PARKER ROAD, WELLESLEY, MA 02482","28 PARKER RD WELLESLEY MA 02482","+251902-09","1200000","","Active","New Construction"
"RES-25-778","18 ROCKLAND STREET, WELLESLEY, MA 02481","18 ROCKLAND ST WELLESLEY MA 02481","+251826-09","800000","","Active","New Construction"
"RES-25-742","78 SUFFOLK ROAD, WELLESLEY, MA 02481","78 SUFFOLK RD WELLESLEY MA 02481","+251725-09","1500000","","Active","New Construction"
"RES-25-736","17 SUFFOLK ROAD, WELLESLEY, MA 02481","17 SUFFOLK RD WELLESLEY MA 02481","+252036-09","2361000","","Active","New Construction"
"RES-25-729","46 UPSON ROAD, WELLESLEY, MA 02482","46 UPSON RD WELLESLEY MA 02482","+025535-09","1150000","","Active","New Construction"
"RES-25-693","75 MAUGUS AVENUE, WELLESLEY, MA 02481","75 MAUGUS AVE WELLESLEY MA 02481","+251610-08","1500000","","Active","New Construction"
"RES-25-667","489 WORCESTER STREET, WELLESLEY, MA 02481","489 WORCESTER ST WELLESLEY MA 02481","+251754-08","1300000","","Active","New Construction"
"RES-25-628","66 SUFFOLK ROAD, WELLESLEY, MA 02481","66 SUFFOLK RD WELLESLEY MA 02481","+251332-07","1614000","","Active","New Construction"
"RES-25-619","19 PINE RIDGE ROAD, WELLESLEY, MA 02481","19 PINE RIDGE RD WELLESLEY MA 02481","+251701-07","1000000","","Active","New Construction"
"RES-25-570","52 VALLEY ROAD, WELLESLEY, MA 02481","52 VALLEY RD WELLESLEY MA 02481","+251630-07","1430000","","Active","New Construction"
"RES-25-538","40 RADCLIFFE ROAD, WELLESLEY, MA 02482","40 RADCLIFFE RD WELLESLEY MA 02482","+251502-06","1000000","","Active","New Construction"
"RES-25-510","23 PILGRIM ROAD, WELLESLEY, MA 02481","23 PILGRIM RD WELLESLEY MA 02481","+251855-06","800000","","Active","New Construction"
"RES-25-483","46 ROYALSTON ROAD, WELLESLEY, MA 02481","46 ROYALSTON RD WELLESLEY MA 02481","+251328-06","1900000","","Active","New Construction"
"RES-25-478","23 PRISCILLA CIRCLE, WELLESLEY, MA 02481","23 PRISCILLA CIR WELLESLEY MA 02481","+251051-06","850000","","Active","New Construction"
"RES-25-472","43 WOODRIDGE ROAD, WELLESLEY, MA 02482","43 WOODRIDGE RD WELLESLEY MA 02482","+251842-06","1150000","","Active","New Construction"
"RES-25-420","42 SUMMIT ROAD, WELLESLEY, MA 02482","42 SUMMIT RD WELLESLEY MA 02482","+251954-05","1580000","","Active","New Construction"
"RES-25-317","71 FAIRBANKS AVENUE, WELLESLEY, MA 02481","71 FAIRBANKS AVE WELLESLEY MA 02481","+251231-04","850000","","Complete","New Construction"
"RES-25-299","69 MONADNOCK ROAD, WELLESLEY, MA 02481","69 MONADNOCK RD WELLESLEY MA 02481","+025149-04","1420000","","Active","New Construction"
"RES-25-298","62 DONIZETTI STREET, WELLESLEY, MA 02482","62 DONIZETTI ST WELLESLEY MA 02482","+025045-04","1010000","","Active","New Construction"
